"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)"
"Midden-Drenthe";"GM1731    ";"Midden-Drenthe                                    ";"GG0706    ";"GGD Drenthe                                       "
"Midden-Groningen";"GM1952    ";"Midden-Groningen                                  ";"GG0111    ";"GGD Groningen                                     "
"Moerdijk";"GM1709    ";"Moerdijk                                          ";"GG5206    ";"GGD West-Brabant                                  "
"Molenlanden";"GM1978    ";"Molenlanden                                       ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Montferland";"GM1955    ";"Montferland                                       ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Montfoort";"GM0335    ";"Montfoort                                         ";"GG2514    ";"GGD Regio Utrecht                                 "
"Mook en Middelaar";"GM0944    ";"Mook en Middelaar                                 ";"GG6011    ";"GGD Limburg-Noord                                 "
"Neder-Betuwe";"GM1740    ";"Neder-Betuwe                                      ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Nederweert";"GM0946    ";"Nederweert                                        ";"GG6011    ";"GGD Limburg-Noord                                 "
"Nieuwegein";"GM0356    ";"Nieuwegein                                        ";"GG2514    ";"GGD Regio Utrecht                                 "
"Nieuwkoop";"GM0569    ";"Nieuwkoop                                         ";"GG4506    ";"GGD Hollands-Midden                               "
"Nijkerk";"GM0267    ";"Nijkerk                                           ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Nijmegen";"GM0268    ";"Nijmegen                                          ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Nissewaard";"GM1930    ";"Nissewaard                                        ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Noardeast-Fryslân";"GM1970    ";"Noardeast-Fryslân                                 ";"GG7206    ";"GGD Fryslân                                       "
"Noord-Beveland";"GM1695    ";"Noord-Beveland                                    ";"GG5006    ";"GGD Zeeland                                       "
"Noordenveld";"GM1699    ";"Noordenveld                                       ";"GG0706    ";"GGD Drenthe                                       "
